id,game,sentiment,review
3185,Dota2,NA,"The professional dota 2 scene is fucking exploding and I completely welcome it."
7024,johnson&johnson,NA,"Johnson & Johnson, knowingly sold baby powder containing asbestos for decades and are now tasked with producing #COVID19 #vaccine... along with corporate criminals #Glaxosmithkline - who received the 2nd largest fine in corporate history for their various crimes. Trust them? 😳"
8842,Nvidia,NA,"The things I would do for a @nvidia 3090... unspeakable! 🧐"
6650,Fortnite,NA,Fortnite is running like ass.. fps drops everywhere wtf?
2337,CallOfDuty,NA,"Great play dude , what a good optic for the mk2 Carbine too 👌"
10589,RedDeadRedemption(RDR),NA,I got the horses in the back #PS4live (Red Dead Redemption 2)  live at youtu.be/9BVKh67OaEI
12997,Xbox(Xseries),NA,This is a really disappointing move by Remedy. Bought Control day one with the season pass but will only get the PS5 upgrade if I rebuy everything again repackaged in the Ultimate Edition??
807,AssassinsCreed,NA,Just finished Assassins Creed Odyssey through @Shadow_Official @Shadow_NA from the beginning to the end. Thanks for the amazing gaming experience on your service 👏
11229,TomClancysRainbowSix,NA,"Solo Q and this freak is spinning as fast as he can to lower the FPS. I thought they took this bs out"
11332,TomClancysRainbowSix,NA,"Rocket League, Sea of Thieves or Rainbow Six: Siege🤔? I love playing all three on stream but which is the best? #stream #twitch #RocketLeague #SeaOfThieves #RainbowSixSiege #follow"